reduction,phase,wavelength_micron,planet_star_flux_ppm,flux_error_ppm,blackbody_star_brightness_temperature_k,temperature_error_k,used_in_5p25_10p25_summary
eureka_v1,0.25,7.25,3651.6154986902015,72.0734179269452,1240.6967103622153,12.217522551339925,True
eureka_v1,0.25,7.75,3984.0592407421136,80.3912844361493,1265.7504794155452,13.396852435722963,True
eureka_v1,0.25,8.25,4395.470213138001,80.56036072572309,1306.0662352629809,13.210921605521094,True
eureka_v1,0.25,8.75,4569.578003656811,75.65267992559093,1309.5791023995446,12.348011108584615,True
eureka_v1,0.25,9.25,4897.756062928258,94.55827771747079,1340.2875517989523,15.311109108221103,True
eureka_v1,0.25,9.75,5307.727340149948,90.47861644181182,1385.8401422283157,14.536505159109993,True
eureka_v1,0.25,10.25,5243.2487081980025,113.01076962943114,1356.6721997519262,18.219288304760767,True
eureka_v1,0.25,10.75,4505.7650771258905,289.1397382035394,1219.2896306097232,47.50596940468222,False
eureka_v1,0.25,11.25,5185.580745269162,288.1992366146066,1314.059299125519,46.69012110112794,False
eureka_v1,0.25,11.75,5702.597627354741,333.54204090720737,1382.7629563528455,53.66329435257717,False
eureka_v1,0.5,5.25,4862.190300909,42.97929864781857,1607.7244702078244,6.821098575435258,True
eureka_v1,0.5,5.75,5209.2082277508,45.9195802916916,1612.0375937390252,7.21607008202659,True
eureka_v1,0.5,6.25,5483.3423666646,46.911686802332625,1611.2900659392217,7.336711475670427,True
eureka_v1,0.5,6.75,5143.3181591981,51.574010278324174,1519.2681953434262,8.18881323955236,True
eureka_v1,0.5,7.25,5533.8310279906,52.9280804785065,1546.9548443690649,8.335918768096462,True
eureka_v1,0.5,7.75,6039.341666237,58.910822457493296,1596.0803596717456,9.202339735141777,True
eureka_v1,0.5,8.25,6276.2441868969,63.49522566333806,1606.2197877607398,9.912988691450664,True
eureka_v1,0.5,8.75,6394.3274718034,75.39319083236423,1600.5164069015784,11.793541398713955,True
eureka_v1,0.5,9.25,7256.616018260799,81.24729263301072,1713.160204353398,12.604776617000311,True
eureka_v1,0.5,9.75,7560.7644000624,89.596760869959,1740.9970800480166,13.912201259821131,True
eureka_v1,0.5,10.25,7325.2219363445,112.0174870554,1686.5850590493642,17.507124718894488,True
eureka_v1,0.5,10.75,7658.337625211299,155.1594569538,1722.3930100608616,24.261452495356252,False
eureka_v1,0.5,11.25,7797.181800010299,215.87432209735,1729.252735063335,33.836545597680924,False
eureka_v1,0.5,11.75,7380.3556528533,298.0675111321,1649.855866716171,47.03922131250272,False
eureka_v1,0.75,5.25,2423.1154816998805,67.91817481175875,1188.7520917359113,13.012756677607172,True
eureka_v1,0.75,5.75,2488.3805482738485,67.85495938838363,1151.0915209009713,12.798087536566982,True
eureka_v1,0.75,6.25,2802.277739833904,70.057922235548,1165.3765329237851,12.703862881946407,True
eureka_v1,0.75,6.75,2363.6701625367896,65.3562711883627,1045.9370697494137,12.342920992785025,True
eureka_v1,0.75,7.25,3001.4275730949994,79.90772371128983,1128.2260887294194,14.1362276517375,True
eureka_v1,0.75,7.75,3382.6741107744465,88.24623310572434,1164.0137191676117,15.176665507534949,True
eureka_v1,0.75,8.25,3704.417324886834,94.49967083768017,1191.1619496381134,15.954845747653849,True
eureka_v1,0.75,8.75,3776.5102042784943,86.55233891954168,1178.284767169791,14.558072834036011,True
eureka_v1,0.75,9.25,4016.142728608349,114.33731293031354,1195.6362140408146,19.04177701328672,True
eureka_v1,0.75,9.75,4284.7300615798495,90.532021612748,1219.3996291477604,14.94292035882404,True
eureka_v1,0.75,10.25,4247.998494425728,117.08433445105663,1194.3074609172647,19.361732074919928,True
eureka_v1,0.75,10.75,4760.365529654359,277.3886908958019,1260.9777200308158,45.282646182093345,False
eureka_v1,0.75,11.25,5651.008943105161,287.1664839372199,1389.1371505272955,46.14268630157369,False
eureka_v1,0.75,11.75,5837.468044484204,371.3607118234013,1404.438269943739,59.6309403196185,False
