reduction,wavelength_min_micron,wavelength_max_micron,n_wavelength_bins,aggregation_rule,error_rule,offset_deg,formal_error_deg,semi_amplitude_ppm,chi_square,dof
fiducial,5.25,10.25,11,inverse_variance,maximum,-8.977879804816776,0.43447368678665477,2033.3604218926114,46.2977850220249,1
fiducial,5.75,8.25,6,trapezoid,mean,-8.274146958680152,0.5471201374785073,2113.79827424953,60.985994608086656,1
fiducial,5.75,8.25,6,trapezoid,maximum,-8.274146958680152,0.5471201374785073,2113.79827424953,60.985994608086656,1
fiducial,5.75,8.25,6,uniform,mean,-8.48711114823554,0.523137341312875,2111.6536514233703,65.00715936079992,1
fiducial,5.75,8.25,6,uniform,maximum,-8.48711114823554,0.523137341312875,2111.6536514233703,65.00715936079992,1
fiducial,5.75,8.25,6,inverse_variance,mean,-8.649886246637523,0.5111690974133003,2101.0020399360005,53.38436923914386,1
fiducial,5.75,8.25,6,inverse_variance,maximum,-8.649886246637523,0.5111690974133003,2101.0020399360005,53.38436923914386,1
fiducial,5.75,8.75,7,trapezoid,mean,-8.46635035287106,0.5197575655521267,2104.3795302485923,57.928334230059335,1
fiducial,5.75,8.75,7,trapezoid,maximum,-8.46635035287106,0.5197575655521267,2104.3795302485923,57.928334230059335,1
fiducial,5.75,8.75,7,uniform,mean,-8.672796971354389,0.5046548799537662,2098.742594152386,60.40093813199465,1
fiducial,5.75,8.75,7,uniform,maximum,-8.672796971354389,0.5046548799537662,2098.742594152386,60.40093813199465,1
fiducial,5.75,8.75,7,inverse_variance,mean,-8.78516128137947,0.4913027954698794,2078.6213332739417,52.84221063117076,1
fiducial,5.75,8.75,7,inverse_variance,maximum,-8.78516128137947,0.4913027954698794,2078.6213332739417,52.84221063117076,1
fiducial,5.75,9.25,8,trapezoid,mean,-8.700129304165136,0.4984396686681718,2120.104004896737,66.342584977625,1
fiducial,5.75,9.25,8,trapezoid,maximum,-8.700129304165136,0.4984396686681718,2120.104004896737,66.342584977625,1
fiducial,5.75,9.25,8,uniform,mean,-8.916758097999853,0.4875350650108654,2137.7249709946072,79.40797306980849,1
fiducial,5.75,9.25,8,uniform,maximum,-8.916758097999853,0.4875350650108654,2137.7249709946072,79.40797306980849,1
fiducial,5.75,9.25,8,inverse_variance,mean,-8.761147106049503,0.47280970948957446,2086.763565111958,61.265476201713625,1
fiducial,5.75,9.25,8,inverse_variance,maximum,-8.761147106049503,0.47280970948957446,2086.763565111958,61.265476201713625,1
